Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg)
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T09:00:00.000000+0000,81,160,4.9,29.7,19.8,22.6,19.9,78,1.8,0,363,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T09:15:00.000000+0000,81,160,5.8,26.3,18.7,24.1,22.1,75,2.3,0,446,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T09:30:00.000000+0000,81,160,7.4,24.8,19.2,25,22,73,2.3,0,300,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T09:45:00.000000+0000,72,151,5.3,25.6,18,26.4,23.9,74,2.1,0,272,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T10:00:00.000000+0000,72,151,6.6,24.5,18.4,26,22.9,74,2.4,0,251,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T10:15:00.000000+0000,72,151,4.4,20.7,14.6,28.4,18.8,74,2.2,0,327,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T10:30:00.000000+0000,72,151,5.8,21.3,16,28.1,17,73,2,0,221,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T10:45:00.000000+0000,61,144,4.7,19.3,14.1,27,,74,2.5,0,249,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T11:00:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T11:15:00.000000+0000,61,144,3.7,13.4,10.2,26.5,8.5,71,2.9,0,327,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T11:30:00.000000+0000,61,144,3.5,13.8,10.2,33.5,7.4,70,2.9,0,281,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T11:45:00.000000+0000,53,98,,,,,7.6,70,2.6,0,209,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T12:00:00.000000+0000,53,98,,,,,6.9,71,2.4,0,166,756
