Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T21:00:00.000000+0000,49.0,89.2,5.64,,0.03,10.2,28.99,0.36,2.37,,,,,,,26.97,,1.38,67.44,,0.0,0.0,1016.05,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T21:15:00.000000+0000,49.0,89.2,5.74,,,10.39,28.35,0.31,2.33,,,,,,,26.91,,1.11,73.26,,0.0,0.0,1016.14,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T21:30:00.000000+0000,49.0,89.2,5.73,,0.05,9.95,28.83,0.36,2.05,,,,,,,26.88,,1.12,79.57,,0.0,0.0,1016.1,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T21:45:00.000000+0000,45.86,83.54,5.69,,,10.38,28.88,0.33,1.75,,,,,,,26.85,,0.97,82.77,,0.0,0.0,1015.99,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T22:00:00.000000+0000,45.0,82.0,5.63,,0.01,9.8,28.41,0.37,2.15,,,,,,,26.8,,1.17,75.54,,0.0,0.0,1015.91,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T22:15:00.000000+0000,45.0,82.0,5.21,,,11.51,28.79,0.29,1.9,,,,,,,26.77,,1.03,92.59,,0.0,0.0,1015.74,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T22:30:00.000000+0000,45.0,82.0,5.26,,,11.61,28.43,0.3,2.37,,,,,,,26.75,,1.08,94.82,,0.0,0.0,1015.61,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T22:45:00.000000+0000,47.93,87.28,5.31,,,12.3,29.12,0.25,2.97,,,,,,,26.73,,1.06,94.69,,0.0,0.0,1015.47,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T23:00:00.000000+0000,49.0,89.2,5.22,,,12.74,28.3,0.34,2.64,,,,,,,26.69,,1.13,104.13,,0.0,0.0,1015.3,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T23:15:00.000000+0000,49.0,89.2,5.21,,,11.51,28.48,0.28,1.67,,,,,,,26.68,,0.96,111.04,,0.0,0.0,1015.11,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T23:30:00.000000+0000,49.0,89.2,5.15,,,11.73,28.4,0.31,1.45,,,,,,,26.65,,1.04,92.84,,0.0,0.0,1014.91,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T23:45:00.000000+0000,43.87,79.96,5.19,,,12.11,28.53,0.25,1.84,,,,,,,26.61,,0.89,97.59,,0.0,0.0,1014.74,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-02T00:00:00.000000+0000,42.0,76.6,5.35,,,12.01,27.93,0.38,1.71,,,,,,,26.58,,1.01,103.39,,0.0,0.0,1014.59,
